model,num_param,memT,memR,memA,memM,energy,co2,train_time,infer_time,test_00,inf_time,tr_acc,test_01,test_02,test_03,test_04,test_05,test_06,test_07,test_08,test_09,pretrain
dla46x_c,1068440,25.435111424,3.03038464,0.017872896,2.267537408,0.000462473936,0.038616573696,0.9475085735321044,0,0.1149193548387096,0.8282361507415772,0.8854166666666666,0.049899193548387,0.1098790322580645,0.6678427419354839,0.6683467741935484,0.6653225806451613,0.6607862903225806,0.6547379032258065,0.6517137096774194,0.6305443548387096,0
dla46_c,1301400,25.435111424,2.550136832,0.021624832,1.88237312,0.001139565234,0.095153697028,0.8464925289154053,0,0.0514112903225806,0.7429246425628662,0.8645833333333334,0.0514112903225806,0.6693548387096774,0.5816532258064516,0.3059475806451613,0.1325604838709677,0.1769153225806451,0.3790322580645161,0.4112903225806452,0.4339717741935484,0
mobilevitv2_050,1370593,25.435111424,3.095396352,0.039740928,2.885807104,0.000764979101,0.063875754898,0.9696197509765624,0,0.6683467741935484,0.8830250024795532,0.8611111243565878,0.6683467741935484,0.6738911290322581,0.6748991935483871,0.6703629032258065,0.6754032258064516,0.6698588709677419,0.6628024193548387,0.6471774193548387,0.5811491935483871,0
mobilenetv2_050,1968680,25.435111424,2.239758336,0.03316736,1.934996992,0.001168247025,0.097548626582,0.8178715705871582,0,0.3946572580645161,0.7499392032623291,1.0,0.6693548387096774,0.6693548387096774,0.6693548387096774,0.6693548387096774,0.6693548387096774,0.6693548387096774,0.6693548387096774,0.6713709677419355,0.6738911290322581,0
semnasnet_075,2912278,25.435111424,2.801795072,0.049022464,2.116847616,0.000517052875,0.043173915096,0.9089510440826416,0,0.3513104838709677,0.8031688928604126,0.9895833333333334,0.6164314516129032,0.2489919354838709,0.5972782258064516,0.5342741935483871,0.5564516129032258,0.4405241935483871,0.4511088709677419,0.3245967741935484,0.2908266129032258,0
pvt_v2_b0,3666760,25.435111424,3.892314112,0.076552192,2.32384512,0.001415459008,0.118190827199,1.3738994598388672,0,0.6693548387096774,1.1919128894805908,0.4375,0.6693548387096774,0.6693548387096774,0.6693548387096774,0.6693548387096774,0.6693548387096774,0.6693548387096774,0.6693548387096774,0.6693548387096774,0.6693548387096774,0
convnext_atto,3695520,25.435111424,1.612709888,0.07675904,1.502295552,0.001040663758,0.086895423828,0.7945675849914551,0,0.6693548387096774,0.6730813264846802,0.7152777910232544,0.6693548387096774,0.6693548387096774,0.6693548387096774,0.6693548387096774,0.6693548387096774,0.6693548387096774,0.6693548387096774,0.6693548387096774,0.6693548387096774,0
mnasnet_100,4383312,25.435111424,2.34881024,0.073055232,2.041946112,0.001042032118,0.087009681837,0.8324236869812012,0,0.2303427419354838,0.738786244392395,1.0,0.2878024193548387,0.530241935483871,0.5786290322580645,0.6194556451612904,0.6164314516129032,0.5897177419354839,0.5584677419354839,0.5574596774193549,0.5761088709677419,0
spnasnet_100,4421616,25.435111424,2.53755392,0.07286272,2.236968448,0.000556891273,0.046500421321,0.9117662906646729,0,0.1058467741935483,0.8120938301086426,0.7152777910232544,0.6476814516129032,0.1123991935483871,0.6522177419354839,0.6693548387096774,0.6683467741935484,0.6663306451612904,0.6628024193548387,0.6638104838709677,0.6638104838709677,0
ghostnet_100,5182508,25.435111424,2.048917504,0.084738048,1.895246848,0.000952234531,0.07951158336,1.1129934787750244,0,0.6673387096774194,0.9828614473342896,0.9895833333333334,0.6693548387096774,0.6673387096774194,0.6688508064516129,0.6537298387096774,0.6693548387096774,0.4314516129032258,0.4148185483870967,0.5685483870967742,0.6174395161290323,0
hardcorenas_a,5260232,25.435111424,2.357198848,0.086224896,2.104851968,0.014458044044,1.373514184204,0.8486471176147461,0,0.6532258064516129,0.7363412857055665,0.6493055621782938,0.6688508064516129,0.6653225806451613,0.1234879032258064,0.1910282258064516,0.2525201612903225,0.1522177419354838,0.2162298387096774,0.2494959677419354,0.28125,0
efficientnet_b0,5288548,25.435111424,4.52984832,0.087294464,3.88640256,0.000829442626,0.069258459284,1.050086259841919,0,0.5040322580645161,0.9087769746780396,0.9583333333333334,0.4667338709677419,0.4248991935483871,0.5015120967741935,0.5292338709677419,0.422883064516129,0.3392137096774194,0.2998991935483871,0.3029233870967742,0.3548387096774194,0
fbnetc_100,5572200,25.435111424,3.078619136,0.0797824,2.377075712,0.000530850552,0.044326021075,0.934748649597168,0,0.1098790322580645,0.8133559942245483,1.0,0.109375,0.1098790322580645,0.111391129032258,0.1461693548387097,0.2762096774193548,0.4304435483870967,0.5932459677419355,0.65625,0.6658266129032258,0
mobilevit_s,5578632,25.435111424,6.744440832,0.102187008,6.263985152,0.002385999087,0.199230923739,1.9799120426177976,0,0.3891129032258064,1.7517999410629272,0.78125,0.4677419354838709,0.0539314516129032,0.0443548387096774,0.0599798387096774,0.0630040322580645,0.1038306451612903,0.1239919354838709,0.1784274193548387,0.1733870967741935,0
tinynet_a,6187972,25.435111424,4.815060992,0.100836352,4.244470784,0.001018931895,0.086099745169,1.1679270267486572,0,0.2641129032258064,1.0090174674987793,0.9166666666666666,0.2918346774193548,0.4692540322580645,0.3220766129032258,0.3961693548387097,0.3860887096774194,0.4773185483870967,0.5277217741935484,0.5655241935483871,0.2958669354838709,0
ese_vovnet19b_dw,6543080,25.435111424,3.839885312,0.112828928,3.329199616,0.000766683819,0.064784782695,1.089066505432129,0,0.6693548387096774,0.9631718158721924,1.0,0.6688508064516129,0.6693548387096774,0.6688508064516129,0.6683467741935484,0.6738911290322581,0.672883064516129,0.6507056451612904,0.6365927419354839,0.6229838709677419,0
densenet121,7978856,25.435111424,6.276775936,0.13364992,5.689198592,0.002614259637,0.220904939332,2.138981342315674,0,0.5962701612903226,1.876867604255676,0.75,0.1098790322580645,0.1098790322580645,0.1098790322580645,0.1068548387096774,0.1053427419354838,0.1088709677419354,0.1234879032258064,0.1360887096774193,0.2111895161290322,0
densenet121,7978856,25.435111424,6.276775936,0.13364992,5.689198592,0.002894782959,0.244609160001,2.1397414207458496,0,0.5962701612903226,1.8789055109024049,0.75,0.1098790322580645,0.1098790322580645,0.1098790322580645,0.1068548387096774,0.1053427419354838,0.1088709677419354,0.1234879032258064,0.1360887096774193,0.2111895161290322,0
densenetblur121d,7998088,25.435111424,6.853492736,0.133968896,6.432128,0.003109904291,0.262786912603,2.33658766746521,0,0.297883064516129,2.0521843910217283,0.7395833333333334,0.1098790322580645,0.110383064516129,0.110383064516129,0.1179435483870967,0.1174395161290322,0.1179435483870967,0.1290322580645161,0.171875,0.1587701612903226,0
crossvit_9_240,8553296,25.435111424,2.344615936,0.15248384,1.929966592,0.00138489779,0.117023863242,1.356407880783081,0,0.6693548387096774,1.2012322425842286,0.7152777910232544,0.6693548387096774,0.6693548387096774,0.6693548387096774,0.6693548387096774,0.6693548387096774,0.6693548387096774,0.6693548387096774,0.6693548387096774,0.6693548387096774,0
fbnetv3_b,8598464,25.435111424,4.043309056,0.128650752,3.768149504,0.001157265319,0.097788919489,1.2493479251861572,0,0.1255040322580645,1.084948229789734,0.4166666666666667,0.0514112903225806,0.0514112903225806,0.0514112903225806,0.1149193548387096,0.110383064516129,0.1098790322580645,0.1118951612903225,0.1199596774193548,0.1184475806451613,0
resnet14t,10081632,25.435111424,2.512388096,0.151929344,2.127376384,0.000593398659,0.050142186676,0.9776418209075928,0,0.6693548387096774,0.8658433437347413,0.9375,0.6693548387096774,0.3805443548387097,0.6391129032258065,0.6280241935483871,0.6053427419354839,0.577116935483871,0.5539314516129032,0.4138104838709677,0.5246975806451613,0
seresnext26ts,10388064,25.435111424,4.829741056,0.155595264,4.012693504,0.002459054526,0.207790107459,2.0034751892089844,0,0.1612903225806451,1.823359966278076,0.8854166666666666,0.5690524193548387,0.670866935483871,0.6063508064516129,0.5362903225806451,0.6496975806451613,0.6340725806451613,0.3951612903225806,0.3049395161290322,0.2661290322580645,0
gcresnext26ts,10476600,25.435111424,4.716494848,0.158102016,4.017281024,0.002405485745,0.203263545423,2.0937485694885254,0,0.0257056451612903,1.852620577812195,0.8958333333333334,0.2232862903225806,0.2127016129032258,0.53125,0.1280241935483871,0.0604838709677419,0.3361895161290322,0.3225806451612903,0.4470766129032258,0.469758064516129,0
eca_botnext26ts_256,10593301,25.435111424,4.817158144,0.161495552,4.044297728,0.002602622647,0.219921613655,2.151777982711792,0,0.6512096774193549,1.9304993152618408,0.96875,0.6441532258064516,0.6693548387096774,0.2797379032258064,0.6244959677419355,0.6703629032258065,0.671875,0.6582661290322581,0.6547379032258065,0.6280241935483871,0
