model,num_param,memT,memR,memA,memM,energy,co2,train_time,infer_time,test_00,inf_time,tr_acc,test_01,test_02,test_03,test_04,test_05,test_06,test_07,test_08,test_09,pretrain
dla46x_c,1068440,25.435111424,2.982150144,0.015464448,2.25071616,0.003073477889,0.453337988621,2.307422876358032,0,0.4926861702127659,1.0380973100662232,0.9536637931034484,0.526595744680851,0.5618351063829787,0.5654920212765957,0.5375664893617021,0.5757978723404256,0.5392287234042553,0.5764627659574468,0.5797872340425532,0.5408909574468085,0
dla46_c,1301400,25.435111424,2.524971008,0.019216384,1.865551872,0.002375799812,0.350430472232,1.9831037521362305,0,0.5455452127659575,0.8867238521575928,0.9213362068965516,0.5438829787234043,0.5644946808510638,0.5874335106382979,0.539561170212766,0.5492021276595744,0.5488696808510638,0.5625,0.4996675531914893,0.5691489361702128,0
mobilevitv2_050,1370593,25.435111424,3.10378496,0.03735296,2.86905856,0.00248281879,0.366215771463,1.9666457176208496,0,0.4906914893617021,0.9197725296020508,0.9719827586206896,0.5242686170212766,0.5305851063829787,0.519281914893617,0.5425531914893617,0.5591755319148937,0.5485372340425532,0.5558510638297872,0.5478723404255319,0.546875,0
mobilenetv2_050,1968680,25.435111424,2.353004544,0.030681088,1.91940352,0.001503083673,0.221704841743,1.40289044380188,0,0.5116356382978723,0.6605051279067993,0.9347461685823756,0.4790558510638298,0.4946808510638298,0.5079787234042553,0.5059840425531915,0.5136303191489362,0.5132978723404256,0.5189494680851063,0.5246010638297872,0.5342420212765957,0
semnasnet_075,2912278,25.435111424,2.782920704,0.045794816,2.101021696,0.002517203894,0.371287574359,1.91126561164856,0,0.538563829787234,0.8892195224761963,1.0,0.5369015957446809,0.5472074468085106,0.543218085106383,0.5492021276595744,0.5458776595744681,0.5492021276595744,0.5475398936170213,0.5581781914893617,0.5518617021276596,0
pvt_v2_b0,3666760,25.435111424,3.881828352,0.074020864,2.30749696,0.005254652564,0.775061253195,3.759716272354126,0,0.5219414893617021,1.6871172189712524,0.5245450191570881,0.4763962765957447,0.476063829787234,0.4777260638297872,0.5166223404255319,0.4767287234042553,0.5345744680851063,0.4767287234042553,0.4770611702127659,0.4780585106382978,0
convnext_atto,3695520,25.435111424,1.568669696,0.074479616,1.4860032,0.002765823678,0.410724816159,2.203407049179077,0,0.4777260638297872,0.8886957883834838,0.5584291187739463,0.4773936170212766,0.4777260638297872,0.4773936170212766,0.4770611702127659,0.4780585106382978,0.4770611702127659,0.4770611702127659,0.4777260638297872,0.4767287234042553,0
mnasnet_100,4383312,25.435111424,2.487222272,0.070761472,2.0222208,0.002620164931,0.389094492269,1.975064039230347,0,0.5103058510638298,0.916690993309021,1.0,0.5249335106382979,0.5571808510638298,0.5492021276595744,0.5222739361702128,0.5305851063829787,0.5561835106382979,0.5684840425531915,0.5764627659574468,0.5641622340425532,0
spnasnet_100,4421616,25.435111424,2.669674496,0.070798336,2.220913152,0.00260813609,0.387308209372,2.13093900680542,0,0.5139627659574468,0.9840968370437622,0.9439655172413792,0.5545212765957447,0.5332446808510638,0.5628324468085106,0.5807845744680851,0.586436170212766,0.5917553191489362,0.585438829787234,0.5861037234042553,0.5970744680851063,0
ghostnet_100,5182508,25.435111424,2.053111808,0.082644992,1.881488384,0.00308090738,0.45751474588,2.2641489505767822,0,0.5694813829787234,1.0315335512161254,0.9843151340996168,0.5681515957446809,0.6133643617021277,0.5721409574468085,0.5967420212765957,0.5704787234042553,0.6053856382978723,0.5930851063829787,0.5897606382978723,0.5701462765957447,0
hardcorenas_a,5260232,25.435111424,2.332033024,0.085733376,2.089581056,0.002501360285,0.371452002254,1.8893516063690183,0,0.5289228723404256,0.8525965929031372,0.9978448275862069,0.4976728723404255,0.5226063829787234,0.557845744680851,0.5548537234042553,0.5558510638297872,0.573470744680851,0.5641622340425532,0.5804521276595744,0.5764627659574468,0
efficientnet_b0,5288548,25.435111424,4.513071104,0.08576256,3.868971008,0.003650241308,0.542060834215,2.792471647262573,0,0.5305851063829787,1.2569326639175415,0.990301724137931,0.4996675531914893,0.5372340425531915,0.555186170212766,0.5634973404255319,0.5528590425531915,0.5764627659574468,0.5648271276595744,0.5631648936170213,0.5704787234042553,0
fbnetc_100,5572200,25.435111424,3.055550464,0.077947392,2.359907328,0.003416361896,0.507329741569,2.428123950958252,0,0.5216090425531915,1.1156854391098023,0.9342672413793104,0.5219414893617021,0.5365691489361702,0.511968085106383,0.5076462765957447,0.5209441489361702,0.5302526595744681,0.5435505319148937,0.5146276595744681,0.5302526595744681,0
mobilevit_s,5578632,25.435111424,6.719275008,0.100483072,6.249608192,0.008103588873,1.203382947639,5.180606126785278,0,0.5255984042553191,2.543585753440857,0.9978448275862069,0.5315824468085106,0.605718085106383,0.6283244680851063,0.6200132978723404,0.6373005319148937,0.6382978723404256,0.6007313829787234,0.647938829787234,0.6266622340425532,0
tinynet_a,6187972,25.435111424,4.798283776,0.098345984,4.228481024,0.004469244381,0.663682790559,3.091423273086548,0,0.4893617021276595,1.4017284393310547,0.98647030651341,0.508311170212766,0.567154255319149,0.5644946808510638,0.5651595744680851,0.5757978723404256,0.6100398936170213,0.5458776595744681,0.5914228723404256,0.5821143617021277,0
ese_vovnet19b_dw,6543080,25.435111424,3.835691008,0.11028736,3.31211264,0.003735517408,0.554724335024,2.742255926132202,0,0.5009973404255319,1.3425294876098632,0.9827586206896552,0.5219414893617021,0.546875,0.589095744680851,0.5269281914893617,0.5894281914893617,0.542220744680851,0.6113696808510638,0.5777925531914894,0.5731382978723404,0
densenet121,7978856,25.435111424,6.0817408,0.131485184,5.671460352,0.00875536329,1.300171448591,5.626474380493164,0,0.5285904255319149,2.7115412950515747,0.988146551724138,0.5711436170212766,0.6153590425531915,0.6279920212765957,0.6173537234042553,0.6063829787234043,0.6240026595744681,0.640625,0.6529255319148937,0.5917553191489362,0
densenet121,7978856,25.435111424,6.0817408,0.131485184,5.671460352,0.008799509219,1.306727119029,5.598995685577393,0,0.5285904255319149,2.709088850021362,0.988146551724138,0.5711436170212766,0.6153590425531915,0.6279920212765957,0.6173537234042553,0.6063829787234043,0.6240026595744681,0.640625,0.6529255319148937,0.5917553191489362,0
densenetblur121d,7998088,25.435111424,6.828326912,0.13189632,6.414196736,0.009710727225,1.442042992857,6.19248104095459,0,0.5448803191489362,3.0015342235565186,0.9606082375478928,0.6143617021276596,0.5824468085106383,0.5741356382978723,0.6067154255319149,0.5478723404255319,0.6186835106382979,0.6033909574468085,0.6027260638297872,0.6379654255319149,0
