model,num_param,memT,memR,memA,memM,energy,co2,train_time,infer_time,test_00,inf_time,tr_acc,test_01,test_02,test_03,test_04,test_05,test_06,test_07,test_08,test_09,pretrain,type,efficient,dataset,pen
ghostnet_100,5182508,25.435111424,2.021654528,0.105186304,1.895246848,0.017475087871,1.039767728328,11.361953735351562,0,0.8296370967741935,0.96423921585083,0.9858686845052188,0.8366935483870968,0.8366935483870968,0.8472782258064516,0.8503024193548387,0.8533266129032258,0.8452620967741935,0.8412298387096774,0.8523185483870968,0.8578629032258065,1.0,CNN,1,derma_pt,0.8026704479915879
ese_vovnet19b_dw,6543080,25.435111424,3.839885312,0.133867008,3.329199616,0.020419759188,1.153716394135,12.89171814918518,0,0.8361895161290323,0.967909288406372,0.9863013698630136,0.8452620967741935,0.8185483870967742,0.8306451612903226,0.8462701612903226,0.8709677419354839,0.8523185483870968,0.8649193548387096,0.8598790322580645,0.8634072580645161,1.0,CNN,1,derma_pt,0.7991938361634838
fbnetc_100,5572200,25.435111424,3.070230528,0.100230656,2.377075712,0.018474631402,1.08076593701,11.92149829864502,0,0.8084677419354839,0.8267243385314942,0.9691780821917808,0.8240927419354839,0.8256048387096774,0.8150201612903226,0.842741935483871,0.84375,0.8301411290322581,0.8301411290322581,0.84375,0.8528225806451613,1.0,CNN,1,derma_pt,0.7950287242762638
mobilenetv2_050,1968680,25.435111424,2.227175424,0.053615616,1.934996992,0.010745538283,0.591004605559,7.33152437210083,0,0.7293346774193549,0.7451690912246705,0.9617441816417048,0.7721774193548387,0.8004032258064516,0.8084677419354839,0.8180443548387096,0.8230846774193549,0.8276209677419355,0.8286290322580645,0.828125,0.8251008064516129,1.0,CNN,1,derma_pt,0.7916294590699114
mnasnet_100,4383312,25.435111424,2.342518784,0.094257152,2.041946112,0.015244344487,0.90703849697,9.953895330429075,0,0.8019153225806451,0.7521404027938843,0.9835901826484018,0.8069556451612904,0.8200604838709677,0.8200604838709677,0.8240927419354839,0.829133064516129,0.8518145161290323,0.8336693548387096,0.842741935483871,0.8361895161290323,1.0,Other,1,derma_pt,0.7888703112697154
efficientnet_b0,5288548,25.435111424,4.527751168,0.108824064,3.88640256,0.02168154435,1.27921111664,13.71325135231018,0,0.8230846774193549,0.91103413105011,0.9798801369863014,0.8341733870967742,0.8235887096774194,0.8306451612903226,0.8175403225806451,0.8361895161290323,0.8397177419354839,0.8533266129032258,0.8623991935483871,0.8528225806451613,1.0,CNN,1,derma_pt,0.7857851867292563
tinynet_a,6187972,25.435111424,4.81296384,0.122365952,4.244470784,0.023763672367,1.342647488743,15.103096961975098,0,0.8170362903225806,1.0086380958557128,0.97787781692531,0.8104838709677419,0.8150201612903226,0.8296370967741935,0.8311491935483871,0.8301411290322581,0.8351814516129032,0.8563508064516129,0.8528225806451613,0.8548387096774194,1.0,CNN,1,derma_pt,0.78174165440373
resnet34d,21816904,25.435111424,2.315255808,0.392157184,2.007109632,0.025757419157,1.390900634455,16.495986700057983,0,0.7726814516129032,1.267133069038391,0.9811643835616438,0.7626008064516129,0.7389112903225806,0.7933467741935484,0.8104838709677419,0.8371975806451613,0.8306451612903226,0.8235887096774194,0.8482862903225806,0.8518145161290323,1.0,CNN,0,derma_pt,0.7734273534393206
ecaresnet26t,16011916,25.435111424,3.854565376,0.268383744,3.391280128,0.0286473681,1.461015773114,17.838290452957153,0,0.829133064516129,1.3489375591278077,0.9938641552511416,0.828125,0.8185483870967742,0.8497983870967742,0.8704637096774194,0.8467741935483871,0.8503024193548387,0.8452620967741935,0.8785282258064516,0.8578629032258065,1.0,Other,1,derma_pt,0.7709590359121912
resnet14t,10081632,25.435111424,2.512388096,0.173164032,2.127376384,0.018551189416,0.983213039038,11.610415935516356,0,0.7988911290322581,0.8704902172088623,0.985730593607306,0.7903225806451613,0.7580645161290323,0.7893145161290323,0.8079637096774194,0.8442540322580645,0.8467741935483871,0.8150201612903226,0.8195564516129032,0.8140120967741935,1.0,CNN,0,derma_pt,0.7586352942868949
resnet26d,16014408,25.435111424,3.374317568,0.268406272,2.95417088,0.025202761108,1.297942197042,15.93984055519104,0,0.7540322580645161,1.2374021768569947,0.9770262557077626,0.7903225806451613,0.7787298387096774,0.7842741935483871,0.8079637096774194,0.7817540322580645,0.8230846774193549,0.8150201612903226,0.8397177419354839,0.8326612903225806,1.0,CNN,0,derma_pt,0.7575378400153041
botnet26t_256,12488672,25.435111424,3.81681664,0.211342848,3.050554368,0.027223011311,1.442819599473,17.069792985916138,0,0.7741935483870968,1.3529803276062011,0.9714611872146118,0.8296370967741935,0.8064516129032258,0.8422379032258065,0.8049395161290323,0.8286290322580645,0.8311491935483871,0.8326612903225806,0.8336693548387096,0.8382056451612904,1.0,Other,0,derma_pt,0.7571065111430748
seresnext26ts,10388064,25.435111424,4.829741056,0.17604352,4.012693504,0.030692617803,1.626708743564,19.324321269989014,0,0.8200604838709677,1.828059148788452,0.992865296803653,0.8240927419354839,0.8175403225806451,0.7636088709677419,0.8125,0.7908266129032258,0.8508064516129032,0.8387096774193549,0.8523185483870968,0.84375,1.0,Other,0,derma_pt,0.752831028537156
seresnext26d_32x4d,16809512,25.435111424,4.783603712,0.280632832,4.156134912,0.035601416342,1.869074357949,22.21551632881165,0,0.7414314516129032,1.615746021270752,0.9698869493454014,0.8165322580645161,0.7832661290322581,0.7686491935483871,0.7993951612903226,0.8286290322580645,0.827116935483871,0.7550403225806451,0.8059475806451613,0.8578629032258065,1.0,Other,0,derma_pt,0.7524554883644241
eca_resnet33ts,19676302,25.435111424,5.070913536,0.349088768,4.507156992,0.032989982083,1.731974059366,20.46098637580872,0,0.8079637096774194,1.5365936279296877,0.9894406392694064,0.8130040322580645,0.8230846774193549,0.8125,0.8256048387096774,0.8356854838709677,0.8346774193548387,0.8533266129032258,0.8407258064516129,0.8472782258064516,1.0,Other,1,derma_pt,0.749930428883479
seresnext26t_32x4d,16806976,25.435111424,4.75004928,0.279545344,4.122551296,0.035704256209,1.838769194764,22.11861658096313,0,0.795866935483871,1.6083977699279786,0.9788766753727988,0.796875,0.8276209677419355,0.827116935483871,0.8361895161290323,0.8422379032258065,0.8256048387096774,0.827116935483871,0.8417338709677419,0.8538306451612904,1.0,Other,0,derma_pt,0.7486529599793994
