model,num_param,memT,memR,memA,memM,energy,co2,train_time,infer_time,test_00,inf_time,tr_acc,test_01,test_02,test_03,test_04,test_05,test_06,test_07,test_08,test_09,pretrain
dla46x_c,1068440,25.435111424,3.024093184,0.014153728,2.25071616,0.010090892362,0.428862925396,6.794125556945801,0,0.875,0.2119481325149536,0.993454391891892,0.9523026315789472,0.8338815789473685,0.837171052631579,0.944078947368421,0.8667763157894737,0.9407894736842104,0.9572368421052632,0.9473684210526316,0.8289473684210527,0
dla46_c,1301400,25.435111424,2.54803968,0.017905664,1.865551872,0.008777283101,0.37742317336,5.829771757125855,0,0.930921052631579,0.1810432195663452,0.9919763513513512,0.9292763157894736,0.8470394736842105,0.9144736842105264,0.9473684210526316,0.8865131578947368,0.8848684210526315,0.8799342105263158,0.9226973684210528,0.9539473684210528,0
mobilevitv2_050,1370593,25.435111424,3.11427072,0.03604224,2.86905856,0.008607950796,0.370141884236,5.595310688018799,0,0.9046052631578948,0.1940410852432251,0.9991554054054054,0.9078947368421052,0.9111842105263158,0.8947368421052632,0.9046052631578948,0.9046052631578948,0.8898026315789473,0.912828947368421,0.919407894736842,0.9292763157894736,0
mobilenetv2_050,1968680,25.435111424,2.235564032,0.029370368,1.91940352,0.005593791909,0.240533052091,4.016300678253174,0,0.875,0.1513237476348877,1.0,0.875,0.8898026315789473,0.8881578947368421,0.8898026315789473,0.8947368421052632,0.899671052631579,0.9029605263157896,0.912828947368421,0.9177631578947368,0
semnasnet_075,2912278,25.435111424,2.79969792,0.044566016,2.101021696,0.008440141938,0.362926103336,5.475931406021118,0,0.8865131578947368,0.1850034475326538,1.0,0.9490131578947368,0.919407894736842,0.9259868421052632,0.9144736842105264,0.9276315789473684,0.9276315789473684,0.9276315789473684,0.9276315789473684,0.9276315789473684,0
pvt_v2_b0,3666760,25.435111424,3.898605568,0.07359488,2.30749696,0.017384736712,0.73015894189,11.122446537017822,0,0.75,0.3436846971511841,0.7421875,0.8157894736842105,0.8305921052631579,0.743421052631579,0.6266447368421053,0.6266447368421053,0.6266447368421053,0.6266447368421053,0.6266447368421053,0.6266447368421053,0
convnext_atto,3695520,25.435111424,1.577058304,0.073168896,1.4860032,0.010656375398,0.447567766728,6.960530281066895,0,0.8634868421052632,0.1811761856079101,0.9866976351351352,0.9210526315789472,0.9276315789473684,0.9276315789473684,0.9259868421052632,0.8552631578947368,0.8585526315789473,0.8618421052631579,0.8355263157894737,0.8733552631578947,0
mnasnet_100,4383312,25.435111424,2.33832448,0.068205568,2.024317952,0.008728052369,0.366578199516,5.663950443267822,0,0.837171052631579,0.1874717712402343,1.0,0.9210526315789472,0.8930921052631579,0.8766447368421053,0.912828947368421,0.9259868421052632,0.9210526315789472,0.9210526315789472,0.9210526315789472,0.9210526315789472,0
spnasnet_100,4421616,25.435111424,2.531262464,0.068799488,2.220913152,0.009561921472,0.411162623281,6.188318252563477,0,0.84375,0.2023925065994262,0.997043918918919,0.8914473684210527,0.8898026315789473,0.8947368421052632,0.868421052631579,0.9177631578947368,0.9111842105263158,0.9259868421052632,0.8700657894736842,0.8898026315789473,0
ghostnet_100,5182508,25.435111424,2.063597568,0.080941056,1.881488384,0.009929502485,0.426968606865,6.555302381515503,0,0.9473684210526316,0.2111005783081054,1.0,0.8914473684210527,0.9161184210526316,0.8914473684210527,0.8552631578947368,0.75,0.8782894736842105,0.899671052631579,0.912828947368421,0.9177631578947368,0
