model,num_param,memT,memR,memA,memM,energy,co2,train_time,infer_time,test_00,inf_time,tr_acc,test_01,test_02,test_03,test_04,test_05,test_06,test_07,test_08,test_09,pretrain
dla46x_c,1068440,25.435111424,3.001024512,0.038321152,2.267537408,0.018471027823,0.969728960727,11.889799356460571,0,0.6612903225806451,0.8309677839279175,0.7435281336579693,0.6285282258064516,0.6628024193548387,0.6955645161290323,0.6849798387096774,0.6940524193548387,0.7086693548387096,0.7227822580645161,0.7318548387096774,0.7237903225806451,0
dla46_c,1301400,25.435111424,2.520776704,0.042073088,1.88237312,0.01643601201,1.536767122893,10.4643075466156,0,0.5982862903225806,0.7569597482681274,0.764071475969602,0.6673387096774194,0.6577620967741935,0.6890120967741935,0.7172379032258065,0.6980846774193549,0.7116935483870968,0.6955645161290323,0.7061491935483871,0.7046370967741935,0
mobilevitv2_050,1370593,25.435111424,3.091202048,0.060189184,2.885807104,0.015260823594,1.434517417794,9.93356704711914,0,0.6648185483870968,0.8758009672164917,0.8460238986908029,0.6970766129032258,0.7076612903225806,0.6925403225806451,0.6869959677419355,0.6653225806451613,0.6930443548387096,0.6794354838709677,0.6809475806451613,0.6814516129032258,0
mobilenetv2_050,1968680,25.435111424,2.227175424,0.053615616,1.934996992,0.010582911775,1.010668074531,7.320693492889404,0,0.6723790322580645,0.749225664138794,0.7198409190460971,0.6512096774193549,0.6698588709677419,0.6743951612903226,0.6628024193548387,0.6527217741935484,0.671875,0.670866935483871,0.6738911290322581,0.6844758064516129,0
semnasnet_075,2912278,25.435111424,2.791309312,0.0687744,2.116847616,0.014515844161,1.386263117347,9.723403692245483,0,0.655241935483871,0.8214317560195923,0.7622302620922594,0.6844758064516129,0.6915322580645161,0.6925403225806451,0.6965725806451613,0.6990927419354839,0.6960685483870968,0.7086693548387096,0.6748991935483871,0.7011088709677419,0
pvt_v2_b0,3666760,25.435111424,3.883925504,0.096902144,2.32384512,0.028399477007,1.618770189423,18.41883111000061,0,0.6703629032258065,1.1983447551727295,0.7428284725642096,0.6794354838709677,0.6960685483870968,0.7061491935483871,0.7212701612903226,0.717741935483871,0.7232862903225806,0.7313508064516129,0.7222782258064516,0.7328629032258065,0
convnext_atto,3695520,25.435111424,1.59383552,0.09845248,1.502295552,0.018526567741,1.056014361265,11.9085955619812,0,0.6774193548387096,0.6878407001495361,0.7332541610552296,0.6743951612903226,0.6895161290322581,0.7016129032258065,0.7081653225806451,0.7202620967741935,0.7298387096774194,0.733366935483871,0.7293346774193549,0.7273185483870968,0
mnasnet_100,4383312,25.435111424,2.342518784,0.094257152,2.041946112,0.015662512706,1.495769963412,9.959370613098145,0,0.6638104838709677,0.7588748693466186,0.7900602077240269,0.6839717741935484,0.6653225806451613,0.671875,0.7016129032258065,0.6950604838709677,0.7016129032258065,0.6804435483870968,0.6955645161290323,0.6920362903225806,0
spnasnet_100,4421616,25.435111424,2.524971008,0.093261824,2.236968448,0.017314696559,1.644896173128,10.673489332199097,0,0.6557459677419355,0.7966225862503051,0.7512382160038709,0.6854838709677419,0.6748991935483871,0.6774193548387096,0.6935483870967742,0.6875,0.6905241935483871,0.7036290322580645,0.7076612903225806,0.6895161290322581,0
ghostnet_100,5182508,25.435111424,2.021654528,0.105186304,1.895246848,0.017475087871,1.039767728328,11.560916662216188,0,0.686491935483871,0.9965998649597168,0.9031061274275932,0.6925403225806451,0.6829637096774194,0.6587701612903226,0.6844758064516129,0.65625,0.6738911290322581,0.6622983870967742,0.6683467741935484,0.6607862903225806,0
hardcorenas_a,5260232,25.435111424,2.353004544,0.107344896,2.104851968,0.014458044044,1.373514184204,9.78730034828186,0,0.6597782258064516,0.7345232963562012,0.9620433789954338,0.6693548387096774,0.6834677419354839,0.6834677419354839,0.6471774193548387,0.6834677419354839,0.6829637096774194,0.6875,0.6854838709677419,0.6658266129032258,0
efficientnet_b0,5288548,25.435111424,4.527751168,0.108824064,3.88640256,0.02168154435,1.27921111664,13.74479913711548,0,0.6370967741935484,0.912410044670105,0.9464897260273972,0.6759072580645161,0.6869959677419355,0.6789314516129032,0.6547379032258065,0.655241935483871,0.6683467741935484,0.6738911290322581,0.6905241935483871,0.6794354838709677,0
fbnetc_100,5572200,25.435111424,3.070230528,0.100230656,2.377075712,0.018474631402,1.08076593701,11.980841875076294,0,0.6592741935483871,0.8252070188522339,0.7579540433404652,0.6703629032258065,0.6834677419354839,0.6754032258064516,0.6990927419354839,0.6955645161290323,0.704133064516129,0.6643145161290323,0.6809475806451613,0.6754032258064516,0
mobilevit_s,5578632,25.435111424,6.744440832,0.122594304,6.263985152,0.036835799683,2.154894281432,23.200782775878903,0,0.6925403225806451,1.7582046270370484,0.6860224258954122,0.6975806451612904,0.6834677419354839,0.7006048387096774,0.7121975806451613,0.7202620967741935,0.7283266129032258,0.7328629032258065,0.6648185483870968,0.6910282258064516,0
tinynet_a,6187972,25.435111424,4.81296384,0.122365952,4.244470784,0.023763672367,1.342647488743,15.097743034362791,0,0.6280241935483871,1.0125533580780028,0.9500570776255708,0.6824596774193549,0.6880040322580645,0.6764112903225806,0.6592741935483871,0.6759072580645161,0.6688508064516129,0.6643145161290323,0.6748991935483871,0.686491935483871,0
ese_vovnet19b_dw,6543080,25.435111424,3.839885312,0.133867008,3.329199616,0.020419759188,1.153716394135,12.899364233016968,0,0.6819556451612904,0.9687204837799072,0.8497155322331816,0.7011088709677419,0.7101814516129032,0.7394153225806451,0.7590725806451613,0.7626008064516129,0.7474798387096774,0.7651209677419355,0.7615927419354839,0.7636088709677419,0
densenet121,7978856,25.435111424,6.25999872,0.154098176,5.689198592,0.04018369354,2.149827604414,25.349477291107178,0,0.655241935483871,1.8939865827560425,0.7696503534164603,0.7157258064516129,0.7132056451612904,0.719758064516129,0.7242943548387096,0.7303427419354839,0.7389112903225806,0.7449596774193549,0.7479838709677419,0.7419354838709677,0
densenet121,7978856,25.435111424,6.25999872,0.154098176,5.689198592,0.04018369354,2.149827604414,25.32398366928101,0,0.655241935483871,1.8982139587402345,0.7696503534164603,0.7157258064516129,0.7132056451612904,0.719758064516129,0.7242943548387096,0.7303427419354839,0.7389112903225806,0.7449596774193549,0.7479838709677419,0.7419354838709677,0
densenetblur121d,7998088,25.435111424,6.83671552,0.154417152,6.432128,0.043679905148,2.336874925429,27.626219034194943,0,0.6819556451612904,2.0631997346878053,0.765512225562579,0.6995967741935484,0.7247983870967742,0.7247983870967742,0.7152217741935484,0.7278225806451613,0.7288306451612904,0.734375,0.7121975806451613,0.7066532258064516,0
crossvit_9_240,8553296,25.435111424,2.344615936,0.172932096,1.929966592,0.023208169962,1.241637092978,14.45361876487732,0,0.6703629032258065,1.2152944564819337,0.7435419428838442,0.6880040322580645,0.6925403225806451,0.7061491935483871,0.7212701612903226,0.7363911290322581,0.7379032258064516,0.7444556451612904,0.7520161290322581,0.7550403225806451,0
fbnetv3_b,8598464,25.435111424,4.034920448,0.149295616,3.768149504,0.023994312866,1.283695738356,15.267642498016356,0,0.6507056451612904,1.102379465103149,0.6907313300050013,0.6547379032258065,0.6759072580645161,0.6653225806451613,0.6688508064516129,0.6658266129032258,0.6759072580645161,0.6784274193548387,0.6859879032258065,0.671875,0
resnet14t,10081632,25.435111424,2.512388096,0.173164032,2.127376384,0.018551189416,0.983213039038,11.54142141342163,0,0.686491935483871,0.8711626529693604,0.7403842613577298,0.6950604838709677,0.6940524193548387,0.686491935483871,0.702116935483871,0.7026209677419355,0.6980846774193549,0.7116935483870968,0.6985887096774194,0.7137096774193549,0
seresnext26ts,10388064,25.435111424,4.829741056,0.17604352,4.012693504,0.030692617803,1.626708743564,19.38148808479309,0,0.6980846774193549,1.828920102119446,0.8166059065082846,0.7101814516129032,0.7263104838709677,0.7303427419354839,0.7479838709677419,0.7454637096774194,0.7242943548387096,0.7429435483870968,0.7152217741935484,0.6829637096774194,0
gcresnext26ts,10476600,25.435111424,4.716494848,0.177501696,4.017281024,0.031087040958,1.663156691269,19.54644560813904,0,0.688508064516129,1.8432509183883667,0.7820555309182433,0.6990927419354839,0.71875,0.7132056451612904,0.7253024193548387,0.7394153225806451,0.7474798387096774,0.7439516129032258,0.735383064516129,0.7479838709677419,0
eca_botnext26ts_256,10593301,25.435111424,4.815060992,0.179846656,4.044297728,0.037880421656,2.026602558586,23.54982113838196,0,0.6809475806451613,1.931246519088745,0.7810658785306155,0.7157258064516129,0.7358870967741935,0.7429435483870968,0.7464717741935484,0.7515120967741935,0.7585685483870968,0.7449596774193549,0.7555443548387096,0.7681451612903226,0
bat_resnext26ts,10731200,25.435111424,5.226102784,0.182175232,4.521063424,0.036730990817,1.965108008725,22.703633785247803,0,0.6965725806451613,2.084806108474732,0.8826962731200266,0.6995967741935484,0.7263104838709677,0.7384072580645161,0.7494959677419355,0.7384072580645161,0.719758064516129,0.7242943548387096,0.7142137096774194,0.7253024193548387,0
bat_resnext26ts,10731200,25.435111424,5.226102784,0.182175232,4.521063424,0.036730990817,1.965108008725,22.71277642250061,0,0.6965725806451613,2.084371781349182,0.8826962731200266,0.6995967741935484,0.7263104838709677,0.7384072580645161,0.7494959677419355,0.7384072580645161,0.719758064516129,0.7242943548387096,0.7142137096774194,0.7253024193548387,0
lambda_resnet26rpt_256,10988688,25.435111424,6.757023744,0.188609024,5.973276672,0.034367858566,1.821496503992,21.49281144142151,0,0.6799395161290323,1.749517798423767,0.8124631757605566,0.7071572580645161,0.7132056451612904,0.7051411290322581,0.7409274193548387,0.7454637096774194,0.7525201612903226,0.7459677419354839,0.7484879032258065,0.7358870967741935,0
resnet18d,11708744,25.435111424,1.71966464,0.224354304,1.48204544,0.016955825157,1.610803389935,10.612990379333496,0,0.6900201612903226,0.7942297220230102,0.7526697598091544,0.6970766129032258,0.7111895161290323,0.7121975806451613,0.7278225806451613,0.734375,0.7414314516129032,0.7379032258064516,0.7464717741935484,0.7479838709677419,0
halonet26t,12480288,25.435111424,3.745513472,0.20950784,3.038918656,0.028246463532,1.497062567206,17.515995740890503,0,0.7001008064516129,1.375855016708374,0.7970430105244188,0.7046370967741935,0.7137096774193549,0.7454637096774194,0.7373991935483871,0.7076612903225806,0.7379032258064516,0.7419354838709677,0.7424395161290323,0.7479838709677419,0
botnet26t_256,12488672,25.435111424,3.81681664,0.211342848,3.050554368,0.027223011311,1.442819599473,17.110105276107788,0,0.6960685483870968,1.3510791301727294,0.7890567461105242,0.7192540322580645,0.7273185483870968,0.7328629032258065,0.7379032258064516,0.7444556451612904,0.7384072580645161,0.7389112903225806,0.7263104838709677,0.7449596774193549,0
dpn68,12611602,25.435111424,4.496293888,0.22129664,4.234037248,0.042639517645,2.259894435192,26.88064432144165,0,0.6794354838709677,1.846109867095948,0.820734828302305,0.6915322580645161,0.7111895161290323,0.7162298387096774,0.7293346774193549,0.7192540322580645,0.7222782258064516,0.7167338709677419,0.7051411290322581,0.7066532258064516,0
dpn68b,12611602,25.435111424,4.628414464,0.220248064,4.265887744,0.041638116767,2.186001130283,26.2172794342041,0,0.6995967741935484,1.8835557222366333,0.820458646234312,0.7202620967741935,0.7308467741935484,0.7379032258064516,0.7323588709677419,0.7263104838709677,0.7253024193548387,0.7263104838709677,0.7363911290322581,0.7278225806451613,0
gc_efficientnetv2_rw_t,13677713,25.435111424,6.088032256,0.245718528,5.555784192,0.036697176234,1.908253164157,22.86225318908692,0,0.6507056451612904,1.5904783725738525,0.763362608543814,0.6280241935483871,0.6900201612903226,0.6723790322580645,0.6774193548387096,0.6910282258064516,0.703125,0.7182459677419355,0.7268145161290323,0.7283266129032258,0
sehalonet33ts,13691712,25.435111424,5.637144576,0.243127296,4.795500032,0.03766964302,1.958821437039,23.46385765075684,0,0.6875,1.870420980453492,0.7874825082413138,0.7086693548387096,0.7323588709677419,0.733366935483871,0.7525201612903226,0.7550403225806451,0.7610887096774194,0.7459677419354839,0.7585685483870968,0.7520161290322581,0
sebotnet33ts_256,13701984,25.435111424,6.786383872,0.24574464,5.310598656,0.039873085081,2.053463881664,24.95090341567993,0,0.6925403225806451,2.067874336242676,0.7860647739340726,0.6950604838709677,0.7182459677419355,0.7207661290322581,0.7283266129032258,0.7253024193548387,0.7253024193548387,0.7323588709677419,0.7278225806451613,0.7288306451612904,0
densenet169,14149480,25.435111424,7.537164288,0.243029504,6.892307456,0.048852029744,2.515879531817,30.836498498916622,0,0.6360887096774194,2.327041506767273,0.7620737590746248,0.688508064516129,0.703125,0.7222782258064516,0.7368951612903226,0.7328629032258065,0.7368951612903226,0.7424395161290323,0.7505040322580645,0.7474798387096774,0
maxvit_nano_rw_256,15451148,25.435111424,9.313452032,0.28503552,8.43572736,0.061429731881,3.132916325913,38.56702637672424,0,0.6204637096774194,3.307091546058655,0.8391607746686021,0.6920362903225806,0.7323588709677419,0.7479838709677419,0.7550403225806451,0.7358870967741935,0.7318548387096774,0.6875,0.7414314516129032,0.7429435483870968,0
gcresnext50ts,15667320,25.435111424,6.828326912,0.260716032,6.073332736,0.046422512776,2.367548151599,28.813342571258545,0,0.6784274193548387,2.7534701108932493,0.7747919428838442,0.6875,0.6935483870967742,0.7217741935483871,0.7237903225806451,0.7202620967741935,0.7283266129032258,0.7288306451612904,0.7308467741935484,0.7429435483870968,0
dla34,15742104,25.435111424,2.95698432,0.275754496,2.290753024,0.026196202847,1.336006345194,16.548982620239258,0,0.6628024193548387,1.2580812931060792,0.7977887021896501,0.6759072580645161,0.672883064516129,0.6496975806451613,0.6360887096774194,0.5841733870967742,0.5917338709677419,0.6809475806451613,0.6834677419354839,0.6960685483870968,0
ecaresnet26t,16011916,25.435111424,3.854565376,0.268383744,3.391280128,0.027943220234,2.654605922183,17.82351040840149,0,0.6945564516129032,1.3459078073501587,0.7431092575260493,0.6965725806451613,0.7086693548387096,0.7167338709677419,0.7227822580645161,0.7127016129032258,0.7217741935483871,0.7273185483870968,0.7157258064516129,0.6900201612903226,0
ecaresnet26t,16011916,25.435111424,3.854565376,0.268383744,3.391280128,0.028258930546,2.656339471304,17.87137722969055,0,0.6945564516129032,1.346404767036438,0.7431092575260493,0.6965725806451613,0.7086693548387096,0.7167338709677419,0.7227822580645161,0.7127016129032258,0.7217741935483871,0.7273185483870968,0.7157258064516129,0.6900201612903226,0
ecaresnet26t,16011916,25.435111424,3.854565376,0.268383744,3.391280128,0.028386755712,2.583194769767,17.897626399993896,0,0.6945564516129032,1.3487192392349243,0.7431092575260493,0.6965725806451613,0.7086693548387096,0.7167338709677419,0.7227822580645161,0.7127016129032258,0.7217741935483871,0.7273185483870968,0.7157258064516129,0.6900201612903226,0
resnet26d,16014408,25.435111424,3.374317568,0.268406272,2.95417088,0.02526583981,2.299191422682,15.992122650146484,0,0.6829637096774194,1.2380592346191406,0.7439562158497501,0.6900201612903226,0.6849798387096774,0.6895161290322581,0.6814516129032258,0.7172379032258065,0.7106854838709677,0.6910282258064516,0.7212701612903226,0.7217741935483871,0
maxxvit_rmlp_nano_rw_256,16779628,25.435111424,6.67942912,0.306484224,5.66371328,0.064362814857,5.696109114866,40.61599826812744,0,0.6668346774193549,3.1905550718307496,0.7325452936294417,0.6829637096774194,0.6960685483870968,0.7096774193548387,0.7167338709677419,0.7278225806451613,0.71875,0.7116935483870968,0.7227822580645161,0.7298387096774194,0
seresnext26t_32x4d,16806976,25.435111424,4.75004928,0.279545344,4.122551296,0.035686602086,3.104734381503,22.10657262802124,0,0.6854838709677419,1.6063624143600463,0.7595006627579258,0.6940524193548387,0.702116935483871,0.703125,0.7091733870967742,0.6990927419354839,0.7172379032258065,0.7318548387096774,0.7318548387096774,0.735383064516129,0
seresnext26d_32x4d,16809512,25.435111424,4.783603712,0.280632832,4.156134912,0.035567130624,2.863154015204,22.16933536529541,0,0.6880040322580645,1.6132610321044922,0.7557952202618394,0.6965725806451613,0.7046370967741935,0.7081653225806451,0.7142137096774194,0.7147177419354839,0.7147177419354839,0.7263104838709677,0.7358870967741935,0.7449596774193549,0
dla60x,17352344,25.435111424,6.824132608,0.290201088,5.580062208,0.050303661102,3.823078243732,31.597273349761963,0,0.6522177419354839,2.142488503456116,0.749659375512981,0.6633064516129032,0.6703629032258065,0.6582661290322581,0.6774193548387096,0.6804435483870968,0.6849798387096774,0.6854838709677419,0.6784274193548387,0.6653225806451613,0
resnet32ts,17963616,25.435111424,4.90733568,0.31280384,4.284525568,0.030365900481,2.231893685371,19.26247477531433,0,0.6658266129032258,1.4642629623413086,0.7796435410573602,0.6748991935483871,0.6880040322580645,0.6950604838709677,0.7101814516129032,0.7071572580645161,0.7232862903225806,0.734375,0.7227822580645161,0.7207661290322581,0
edgenext_base,18511292,25.435111424,4.78150656,0.336878592,4.333129728,0.051753983464,3.803917784622,32.89672350883484,0,0.6678427419354839,2.2383004426956177,0.7346764988006522,0.6764112903225806,0.6960685483870968,0.7061491935483871,0.7081653225806451,0.719758064516129,0.7313508064516129,0.7273185483870968,0.7207661290322581,0.7242943548387096,0
eca_resnet33ts,19676302,25.435111424,5.070913536,0.349088768,4.507156992,0.032813813847,2.493849852395,20.34707999229431,0,0.6849798387096774,1.53170006275177,0.7642141700335289,0.6789314516129032,0.6849798387096774,0.6960685483870968,0.7046370967741935,0.7242943548387096,0.7253024193548387,0.7348790322580645,0.7414314516129032,0.7429435483870968,0
seresnet33ts,19779200,25.435111424,5.1380224,0.347655168,4.50507008,0.032873812731,2.498409767527,20.380535364151,0,0.6698588709677419,1.540061902999878,0.7716480703114375,0.6834677419354839,0.7006048387096774,0.7121975806451613,0.7227822580645161,0.7288306451612904,0.7318548387096774,0.7202620967741935,0.7253024193548387,0.7061491935483871,0
gcresnet33ts,19880698,25.435111424,5.165285376,0.349002752,4.5069184,0.033145257305,2.485894297884,20.616149187088013,0,0.686491935483871,1.554952907562256,0.7649506553667321,0.6925403225806451,0.7132056451612904,0.7162298387096774,0.719758064516129,0.7283266129032258,0.7363911290322581,0.7414314516129032,0.734375,0.7434475806451613,0
densenet201,20013928,25.435111424,9.430892544,0.333123072,8.87023104,0.061306603553,4.59799526646,38.62664270401001,0,0.6466733870967742,2.9581908702850344,0.7619310650106978,0.6895161290322581,0.7026209677419355,0.71875,0.7202620967741935,0.7247983870967742,0.7253024193548387,0.7394153225806451,0.7404233870967742,0.7479838709677419,0
cspresnext50,20569896,25.435111424,5.58891008,0.343492096,5.199911936,0.038347470368,2.914407747982,24.060869693756104,0,0.6819556451612904,1.823000884056092,0.7662210927161996,0.6784274193548387,0.6960685483870968,0.7091733870967742,0.7253024193548387,0.7247983870967742,0.7247983870967742,0.7318548387096774,0.7192540322580645,0.7182459677419355,0
cspresnext50,20569896,25.435111424,5.58891008,0.343492096,5.199911936,0.038408323152,2.957440882683,24.087498903274536,0,0.6819556451612904,1.8241676568984984,0.7662210927161996,0.6784274193548387,0.6960685483870968,0.7091733870967742,0.7253024193548387,0.7247983870967742,0.7247983870967742,0.7318548387096774,0.7192540322580645,0.7182459677419355,0
regnetv_040,20640640,25.435111424,7.2351744,0.369963008,6.716689408,0.044023987265,3.47789499397,27.56974601745605,0,0.6335685483870968,2.0271948099136354,0.669755302607741,0.6496975806451613,0.6698588709677419,0.6703629032258065,0.6628024193548387,0.6693548387096774,0.6688508064516129,0.6688508064516129,0.6693548387096774,0.6693548387096774,0
