model,num_param,memT,memR,memA,memM,energy,co2,train_time,infer_time,test_00,inf_time,tr_acc,test_01,test_02,test_03,test_04,test_05,test_06,test_07,test_08,test_09,pretrain
dla46x_c,1068440,25.435111424,2.975858688,0.01887232,2.25071616,0.00049027068,0.025003804702,0.8688232898712158,0,0.6595394736842105,0.2117890119552612,0.9979166666666668,0.7713815789473685,0.8601973684210527,0.8601973684210527,0.9046052631578948,0.8914473684210527,0.8832236842105263,0.881578947368421,0.8881578947368421,0.7664473684210527,0
dla46_c,1301400,25.435111424,2.5165824,0.022624256,1.865551872,0.001056413359,0.053877081325,0.7452385425567627,0,0.6348684210526315,0.1802093505859375,1.0,0.6891447368421053,0.837171052631579,0.899671052631579,0.8536184210526315,0.8289473684210527,0.8898026315789473,0.8240131578947368,0.8519736842105263,0.868421052631579,0
mobilevitv2_050,1370593,25.435111424,3.084910592,0.040760832,2.86905856,0.00107186101,0.054664911497,0.7283980846405029,0,0.8634868421052632,0.1880206823348999,0.9948863636363636,0.8799342105263158,0.805921052631579,0.8355263157894737,0.8782894736842105,0.8832236842105263,0.8832236842105263,0.8848684210526315,0.9029605263157896,0.8075657894736842,0
mobilenetv2_050,1968680,25.435111424,2.363490304,0.03408896,1.91940352,0.000975411379,0.049745980345,0.5621829032897949,0,0.6266447368421053,0.151987075805664,0.9979166666666668,0.6266447368421053,0.6743421052631579,0.75,0.7993421052631579,0.8075657894736842,0.8338815789473685,0.8536184210526315,0.8552631578947368,0.8569078947368421,0
semnasnet_075,2912278,25.435111424,2.7787264,0.049284608,2.101021696,0.001411014262,0.071961727371,0.7096717357635498,0,0.6414473684210527,0.1816668510437011,1.0,0.7171052631578947,0.7171052631578947,0.7763157894736842,0.805921052631579,0.8453947368421053,0.875,0.8799342105263158,0.8782894736842105,0.8799342105263158,0
pvt_v2_b0,3666760,25.435111424,3.881828352,0.07752704,2.30749696,0.001369439963,0.069841438106,1.416334867477417,0,0.6398026315789473,0.342451286315918,0.9678030303030304,0.8618421052631579,0.8273026315789473,0.8223684210526315,0.7861842105263158,0.7615131578947368,0.8832236842105263,0.8700657894736842,0.787828947368421,0.819078947368421,0
convnext_atto,3695520,25.435111424,1.568669696,0.076937216,1.4860032,0.00139441932,0.071115385295,0.8581323623657227,0,0.6266447368421053,0.1809401273727417,0.9886363636363636,0.8453947368421053,0.8273026315789473,0.7631578947368421,0.8256578947368421,0.8799342105263158,0.9029605263157896,0.8881578947368421,0.912828947368421,0.8470394736842105,0
mnasnet_100,4383312,25.435111424,2.50609664,0.073481216,2.0222208,0.001427027017,0.072778377849,0.7356905937194824,0,0.6743421052631579,0.1873686075210571,1.0,0.6973684210526315,0.7171052631578947,0.7171052631578947,0.7713815789473685,0.8355263157894737,0.850328947368421,0.8486842105263158,0.8486842105263158,0.8486842105263158,0
spnasnet_100,4421616,25.435111424,2.682257408,0.073550848,2.220913152,0.001472364689,0.075090599147,0.7972421646118164,0,0.6266447368421053,0.2008217811584472,0.9958333333333332,0.7023026315789473,0.6332236842105263,0.8009868421052632,0.8519736842105263,0.875,0.8470394736842105,0.9095394736842104,0.8634868421052632,0.9095394736842104,0
ghostnet_100,5182508,25.435111424,2.187329536,0.085659648,1.881488384,0.00153722479,0.078398464291,0.8466277122497559,0,0.712171052631579,0.2032642364501953,1.0,0.6842105263157895,0.78125,0.850328947368421,0.8848684210526315,0.8848684210526315,0.8881578947368421,0.8881578947368421,0.8914473684210527,0.8914473684210527,0
hardcorenas_a,5260232,25.435111424,2.638217216,0.08812544,2.089581056,0.001448483174,0.073148400275,0.7088394165039062,0,0.6578947368421053,0.1741849660873413,1.0,0.7532894736842105,0.7319078947368421,0.84375,0.8618421052631579,0.8865131578947368,0.9013157894736842,0.8980263157894737,0.8980263157894737,0.8980263157894737,0
efficientnet_b0,5288548,25.435111424,4.513071104,0.088408576,3.868971008,0.000906792053,0.045792998696,1.0416228771209717,0,0.6875,0.2555651426315307,1.0,0.8338815789473685,0.7598684210526315,0.7944078947368421,0.868421052631579,0.8585526315789473,0.875,0.8733552631578947,0.8733552631578947,0.875,0
fbnetc_100,5572200,25.435111424,3.049259008,0.081662464,2.359907328,0.000564480963,0.02850628865,0.9003403186798096,0,0.7417763157894737,0.2267831563949585,1.0,0.65625,0.8651315789473685,0.8848684210526315,0.8782894736842105,0.8782894736842105,0.8782894736842105,0.8782894736842105,0.8782894736842105,0.8782894736842105,0
mobilevit_s,5578632,25.435111424,6.719275008,0.104374272,6.249608192,0.002348496257,0.118599060984,1.8833463191986084,0,0.8634868421052632,0.5153429746627808,0.9979166666666668,0.7976973684210527,0.899671052631579,0.9046052631578948,0.8322368421052632,0.8174342105263158,0.875,0.805921052631579,0.8157894736842105,0.8141447368421053,0
tinynet_a,6187972,25.435111424,4.798283776,0.10250752,4.228481024,0.001154845352,0.058319690268,1.1620142459869385,0,0.6480263157894737,0.2856521606445312,0.9979166666666668,0.6710526315789473,0.8042763157894737,0.8782894736842105,0.8898026315789473,0.8240131578947368,0.8782894736842105,0.8240131578947368,0.8651315789473685,0.9095394736842104,0
ese_vovnet19b_dw,6543080,25.435111424,3.835691008,0.1145472,3.31211264,0.000868796456,0.043874221021,1.0011167526245115,0,0.6299342105263158,0.2730169534683228,1.0,0.7023026315789473,0.7680921052631579,0.8207236842105263,0.8667763157894737,0.8947368421052632,0.8963815789473685,0.8980263157894737,0.899671052631579,0.899671052631579,0
densenet121,7978856,25.435111424,6.0817408,0.135024128,5.671460352,0.002486821321,0.125584476704,2.0488080978393555,0,0.6266447368421053,0.5502856254577637,1.0,0.7055921052631579,0.7516447368421053,0.8338815789473685,0.8651315789473685,0.8651315789473685,0.8717105263157895,0.8733552631578947,0.875,0.875,0
densenet121,7978856,25.435111424,6.0817408,0.135024128,5.671460352,0.002529101553,0.127719628415,2.036414623260498,0,0.6266447368421053,0.5490544319152832,1.0,0.7055921052631579,0.7516447368421053,0.8338815789473685,0.8651315789473685,0.8651315789473685,0.8717105263157895,0.8733552631578947,0.875,0.875,0
densenetblur121d,7998088,25.435111424,6.828326912,0.135435264,6.414196736,0.002960811517,0.149520981606,2.253229856491089,0,0.6266447368421053,0.6084533214569092,1.0,0.7319078947368421,0.8207236842105263,0.8404605263157895,0.8980263157894737,0.868421052631579,0.8881578947368421,0.8881578947368421,0.8865131578947368,0.8832236842105263,0
crossvit_9_240,8553296,25.435111424,2.298478592,0.150923264,1.883847168,0.00112884874,0.057006861358,1.1563153266906738,0,0.8519736842105263,0.3435072660446167,1.0,0.8881578947368421,0.9177631578947368,0.912828947368421,0.84375,0.8536184210526315,0.912828947368421,0.9013157894736842,0.8157894736842105,0.9078947368421052,0
fbnetv3_b,8598464,25.435111424,4.16284672,0.129709568,3.753330688,0.00113350489,0.057241996951,1.1631033420562744,0,0.6266447368421053,0.2799620866775513,1.0,0.6332236842105263,0.6398026315789473,0.8947368421052632,0.8453947368421053,0.8799342105263158,0.875,0.875,0.875,0.8766447368421053,0
resnet14t,10081632,25.435111424,2.487222272,0.155918848,2.107773952,0.001495697626,0.07553273009,0.8913474082946777,0,0.6266447368421053,0.2426726818084716,1.0,0.6266447368421053,0.6266447368421053,0.805921052631579,0.8782894736842105,0.8848684210526315,0.8914473684210527,0.8930921052631579,0.8930921052631579,0.8947368421052632,0
seresnext26ts,10388064,25.435111424,4.821352448,0.157487616,3.995712512,0.001929299495,0.097429624518,1.6412923336029053,0,0.6513157894736842,0.5369400978088379,1.0,0.7467105263157895,0.7960526315789473,0.8651315789473685,0.8717105263157895,0.8733552631578947,0.875,0.8766447368421053,0.8782894736842105,0.8799342105263158,0
gcresnext26ts,10476600,25.435111424,4.712300544,0.160518656,4.000300032,0.001948177311,0.098382954181,1.659552812576294,0,0.6842105263157895,0.5412840604782104,1.0,0.7516447368421053,0.6661184210526315,0.8026315789473685,0.8108552631578947,0.90625,0.9013157894736842,0.8207236842105263,0.8421052631578947,0.8618421052631579,0
eca_botnext26ts_256,10593301,25.435111424,4.8234496,0.162077184,4.027185664,0.002313487261,0.115674363061,1.9429881572723389,0,0.6266447368421053,0.5677648782730103,1.0,0.7335526315789473,0.680921052631579,0.8207236842105263,0.8914473684210527,0.9029605263157896,0.8930921052631579,0.8930921052631579,0.8947368421052632,0.8947368421052632,0
bat_resnext26ts,10731200,25.435111424,5.2953088,0.163881472,4.504082432,0.002365854413,0.118292720662,1.928436517715454,0,0.743421052631579,0.6142123699188232,1.0,0.6513157894736842,0.6365131578947368,0.6907894736842105,0.8930921052631579,0.805921052631579,0.8256578947368421,0.8782894736842105,0.8930921052631579,0.8898026315789473,0
bat_resnext26ts,10731200,25.435111424,5.2953088,0.163881472,4.504082432,0.002363774646,0.118188732297,1.9288032054901123,0,0.743421052631579,0.6129763841629028,1.0,0.6513157894736842,0.6365131578947368,0.6907894736842105,0.8930921052631579,0.805921052631579,0.8256578947368421,0.8782894736842105,0.8930921052631579,0.8898026315789473,0
lambda_resnet26rpt_256,10988688,25.435111424,6.729760768,0.170839552,5.95629568,0.00190894891,0.095447445489,1.764051914215088,0,0.6299342105263158,0.5130676984786987,1.0,0.6595394736842105,0.7549342105263158,0.8338815789473685,0.881578947368421,0.90625,0.912828947368421,0.912828947368421,0.912828947368421,0.9111842105263158,0
resnet18d,11708744,25.435111424,1.715470336,0.20424192,1.463520256,0.001156249747,0.057812487367,0.8201377391815186,0,0.65625,0.2206785202026367,1.0,0.6513157894736842,0.7796052631578947,0.7467105263157895,0.8157894736842105,0.8634868421052632,0.8782894736842105,0.881578947368421,0.881578947368421,0.881578947368421,0
halonet26t,12480288,25.435111424,3.720347648,0.19449088,3.022461952,0.001524777807,0.076238890369,1.415614128112793,0,0.6266447368421053,0.3978230714797973,1.0,0.8273026315789473,0.71875,0.7532894736842105,0.8009868421052632,0.8947368421052632,0.8898026315789473,0.8388157894736842,0.8470394736842105,0.8585526315789473,0
botnet26t_256,12488672,25.435111424,3.79584512,0.195015168,3.033696256,0.001475050221,0.073752511075,1.3740334510803225,0,0.6430921052631579,0.3904154777526855,1.0,0.631578947368421,0.8009868421052632,0.7845394736842105,0.868421052631579,0.8799342105263158,0.8799342105263158,0.8799342105263158,0.8799342105263158,0.8782894736842105,0
dpn68,12611602,25.435111424,4.48790528,0.20069888,4.220059648,0.002667078636,0.1333539318,2.14719033241272,0,0.8075657894736842,0.5378180027008057,1.0,0.8536184210526315,0.9276315789473684,0.8947368421052632,0.919407894736842,0.9325657894736842,0.9013157894736842,0.8947368421052632,0.8980263157894737,0.8963815789473685,0
dpn68b,12611602,25.435111424,4.649385984,0.200731648,4.251779072,0.002654563132,0.132728156599,2.1178698539733887,0,0.6726973684210527,0.5551603078842163,1.0,0.8388157894736842,0.8305921052631579,0.8355263157894737,0.8421052631578947,0.8519736842105263,0.8601973684210527,0.8601973684210527,0.8601973684210527,0.8585526315789473,0
gc_efficientnetv2_rw_t,13677713,25.435111424,6.394216448,0.226605568,5.538115072,0.002363849588,0.118192479417,1.8377680778503416,0,0.850328947368421,0.4589272975921631,1.0,0.7138157894736842,0.71875,0.8026315789473685,0.8141447368421053,0.8338815789473685,0.8305921052631579,0.8355263157894737,0.8338815789473685,0.8338815789473685,0
